ID,AllowableRace,Description_lang,Display3_lang,Display2_lang,Display1_lang,Display_lang,DmgVariance,DurationInInventory,QualityModifier,BagFamily,StartQuestID,ItemRange,StatPercentageOfSocket_0,StatPercentageOfSocket_1,StatPercentageOfSocket_2,StatPercentageOfSocket_3,StatPercentageOfSocket_4,StatPercentageOfSocket_5,StatPercentageOfSocket_6,StatPercentageOfSocket_7,StatPercentageOfSocket_8,StatPercentageOfSocket_9,StatPercentEditor_0,StatPercentEditor_1,StatPercentEditor_2,StatPercentEditor_3,StatPercentEditor_4,StatPercentEditor_5,StatPercentEditor_6,StatPercentEditor_7,StatPercentEditor_8,StatPercentEditor_9,Stackable,MaxCount,MinReputation,RequiredAbility,SellPrice,BuyPrice,VendorStackCount,PriceVariance,PriceRandomValue,Flags_0,Flags_1,Flags_2,Flags_3,OppositeFactionItemID,ModifiedCraftingReagentItemID,ContentTuningID,PlayerLevelToItemLevelCurveID,MaxDurability,ItemNameDescriptionID,RequiredTransmogHoliday,RequiredHoliday,LimitCategory,Gem_properties,Socket_match_enchantment_ID,TotemCategoryID,InstanceBound,ZoneBound_0,ZoneBound_1,ItemSet,LockID,PageID,ItemDelay,MinFactionID,RequiredSkillRank,RequiredSkill,ItemLevel,AllowableClass,ItemRandomSuffixGroupID,RandomSelect,MinDamage_0,MinDamage_1,MinDamage_2,MinDamage_3,MinDamage_4,MaxDamage_0,MaxDamage_1,MaxDamage_2,MaxDamage_3,MaxDamage_4,Resistances_0,Resistances_1,Resistances_2,Resistances_3,Resistances_4,Resistances_5,Resistances_6,ScalingStatDistributionID,StatModifier_bonusAmount_0,StatModifier_bonusAmount_1,StatModifier_bonusAmount_2,StatModifier_bonusAmount_3,StatModifier_bonusAmount_4,StatModifier_bonusAmount_5,StatModifier_bonusAmount_6,StatModifier_bonusAmount_7,StatModifier_bonusAmount_8,StatModifier_bonusAmount_9,ExpansionID,ArtifactID,SpellWeight,SpellWeightCategory,SocketType_0,SocketType_1,SocketType_2,SheatheType,Material,PageMaterialID,LanguageID,Bonding,DamageType,StatModifier_bonusStat_0,StatModifier_bonusStat_1,StatModifier_bonusStat_2,StatModifier_bonusStat_3,StatModifier_bonusStat_4,StatModifier_bonusStat_5,StatModifier_bonusStat_6,StatModifier_bonusStat_7,StatModifier_bonusStat_8,StatModifier_bonusStat_9,ContainerSlots,RequiredPVPMedal,RequiredPVPRank,InventoryType,OverallQualityID,AmmunitionType,RequiredLevel
720,-1,,,,,Brawler Gloves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1070,5350,1,1,1,0,24580,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,-1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,8,0,0,2,0,4,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,10,3,0,23
897,-1,,,,,Madwolf Bracers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,5112,1,1,1,0,24580,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,-1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,8,0,0,2,0,7,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,9,2,0,24
935,-1,,,,,Night Watch Shortsword,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1742,8712,1,1,1,0,24580,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,20,-1,0,0,24,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,3,0,15
1076,-1,,,,,Defias Renegade Ring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,650,2600,1,1,1,0,24580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,5,0,0,2,0,7,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,11,2,0,20
1292,-1,,,,,Butcher's Cleaver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3300,16504,1,1,1,0,24580,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,25,-1,0,0,23,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,1,0,4,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,3,0,20
1454,-1,,,,,Axe of the Enforcer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3937,19689,1,1,1,0,24580,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,27,-1,0,0,31,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,4,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,3,0,22
1482,-1,,,,,Shadowfang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2964,14822,1,1,1,0,24580,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,24,-1,0,0,29,4,0,0,0,55,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,21,3,0,19
1483,-1,,,,,Face Smasher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025,10129,1,1,1,0,24580,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,21,-1,0,0,25,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,2,0,0,2,0,4,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,3,0,16
1491,-1,,,,,Ring of Precision,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2207,8830,1,1,1,0,24580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,1,1,0,0,2,0,3,6,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,11,3,0,20
1493,-1,,,,,Heavy Marauder Scimitar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3922,19610,1,1,1,0,24580,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,27,-1,0,0,28,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,4,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,21,3,0,22
